Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 06/13  20:00:00,1046.10620404,98.5616145057,550.243727166,0.0,100.150657288,124.558693486,389.397547179,315.271324051,56.6466996096,17.4795235181
 06/13  21:00:00,998.249896755,98.5616145057,539.236557659,0.0,100.150657288,124.558693486,397.84606644,337.929330762,42.4850247072,17.4317109709
 06/13  22:00:00,927.440416455,98.5616145057,534.35403501,0.0,46.0930336215,124.558693486,406.595348476,360.846394561,28.3233498048,17.4256041099
 06/13  23:00:00,927.298027199,98.5616145057,533.440941801,0.0,46.0930336215,124.558693486,391.33849062,368.452219895,14.1616749024,8.72459582213
 06/13  24:00:00,918.407994756,98.5616145057,534.635556091,0.0,46.0930336215,113.312780494,395.243566241,372.152336262,5.66466996096,17.4265600175
 06/14  01:00:00,916.833669469,98.5616145057,535.930146668,0.0,46.0930336215,113.312780494,400.16797953,377.077730888,5.66466996096,17.4255786803
 06/14  02:00:00,917.192511098,98.5616145057,536.740877785,0.0,46.0930336215,113.312780494,405.182022577,382.09260424,5.66466996096,17.4247483759
 06/14  03:00:00,917.463256053,98.5616145057,537.406735115,0.0,46.0930336215,113.312780494,401.066779976,386.678020591,5.66466996096,8.72408942418
 06/14  04:00:00,1004.74219385,98.5616145057,535.284051357,0.0,100.150657288,148.969399434,396.067194989,372.977006849,5.66466996096,17.4255181784
 06/14  05:00:00,985.543760355,98.9968768266,530.679764713,0.0,100.150657288,149.894399434,533.648089406,502.059965982,14.1616749024,17.4264485221
 06/14  06:00:00,1216.10253159,102.965947424,528.492007682,0.0,176.471037341,302.612436532,417.247384422,371.499709941,28.3233498048,17.4243246763
 06/14  07:00:00,1344.36921231,106.12734435,529.839913092,0.0,243.2593065,310.10971186,392.924274265,332.83702211,42.4850247072,17.6022274474
 06/14  08:00:00,1389.23995083,107.284921199,532.156038417,0.0,243.2593065,310.10971186,411.383914842,319.35396158,56.6466996096,35.3832536525
 06/14  09:00:00,1426.86674015,108.512933759,534.568037674,0.0,243.2593065,302.612436532,385.490931899,307.481924654,42.4850247072,35.5239825377
 06/14  10:00:00,1441.32137909,109.633642456,539.289932256,0.0,243.2593065,310.10971186,413.272328151,297.77684441,70.808374512,44.6871092285
 06/14  11:00:00,1448.6033396,110.739524109,543.436680685,0.0,243.2593065,310.10971186,404.612942563,289.021829311,70.808374512,44.7827387401
 06/14  12:00:00,1409.99615162,111.83697376,545.345949531,0.0,243.2593065,310.10971186,389.613376309,283.194327009,70.808374512,35.6106747874
 06/14  13:00:00,1443.94701684,112.763910417,544.526450569,0.0,243.2593065,302.612436532,382.722728631,281.298489576,56.6466996096,44.7775394445
 06/14  14:00:00,1427.03453043,113.917280652,525.309217597,0.0,243.2593065,302.612436532,363.267865554,276.098057111,42.4850247072,44.684783736
 06/14  15:00:00,1415.47935439,115.841168626,510.982560576,0.0,243.2593065,302.612436532,353.681229498,261.36634337,56.6466996096,35.6681865184
 06/14  16:00:00,1426.07438857,117.013143879,513.822172937,0.0,243.2593065,310.10971186,378.623427744,258.182956271,84.9700494144,35.4704220591
 06/14  17:00:00,1428.82710498,117.720388511,516.036406372,0.0,243.2593065,310.10971186,372.010097093,260.736462189,84.9700494144,26.3035854898
 06/14  18:00:00,1164.99227389,98.5616145057,537.4498573,0.0,166.938926447,199.110933808,373.127331659,270.680770178,84.9700494144,17.4765120666
 06/14  19:00:00,1171.32296351,98.5616145057,550.840741051,0.0,166.938926447,191.61365848,363.158435449,289.033830772,56.6466996096,17.477905067
 06/14  20:00:00,1046.63837751,98.5616145057,553.422961104,0.0,100.150657288,124.558693486,412.365766856,338.239637487,56.6466996096,17.4794297598
 06/14  21:00:00,1009.00307126,98.5616145057,548.591896106,0.0,100.150657288,124.558693486,410.985134535,351.068552174,42.4850247072,17.4315576538
 06/14  22:00:00,938.896648602,98.5616145057,546.346746494,0.0,46.0930336215,124.558693486,408.190602308,371.145740689,28.3233498048,8.72151181466
 06/14  23:00:00,939.470103115,98.5616145057,546.219163636,0.0,46.0930336215,124.558693486,410.234857072,378.646872163,14.1616749024,17.4263100073
 06/14  24:00:00,925.357213782,98.5616145057,544.992548199,0.0,46.0930336215,113.312780494,407.617182199,384.525022379,5.66466996096,17.4274898589
 06/15  01:00:00,922.795122144,98.5616145057,542.785768035,0.0,46.0930336215,113.312780494,412.043916131,388.954545463,5.66466996096,17.4247007071
 06/15  02:00:00,920.311620757,98.5616145057,540.465676345,0.0,46.0930336215,113.312780494,406.739323902,392.350667186,5.66466996096,8.72398675542
 06/15  03:00:00,918.487783858,98.5616145057,539.017946244,0.0,46.0930336215,113.312780494,419.425541487,396.335831334,5.66466996096,17.4250401926
 06/15  04:00:00,1007.09100736,98.5616145057,537.470833178,0.0,100.150657288,148.969399434,403.230564229,380.139776829,5.66466996096,17.4261174396
 06/15  05:00:00,993.529808553,99.0920029292,537.538386055,0.0,100.150657288,149.894399434,556.516016046,524.930525045,14.1616749024,17.4238160987
 06/15  06:00:00,1227.97532753,103.438705742,538.53479323,0.0,176.471037341,302.612436532,421.012551933,383.965606826,28.3233498048,8.72359530192
 06/15  07:00:00,1355.69180012,106.585997428,539.378975643,0.0,243.2593065,310.10971186,412.504473791,343.627601791,42.4850247072,26.391847293
 06/15  08:00:00,1400.55013867,107.518787976,541.544135178,0.0,243.2593065,310.10971186,417.759505177,325.740935922,56.6466996096,35.3718696459
 06/15  09:00:00,1437.6131747,108.47811366,544.120122302,0.0,243.2593065,302.612436532,392.466892261,314.469486582,42.4850247072,35.512380971
 06/15  10:00:00,1447.52877831,109.491829633,545.312182887,0.0,243.2593065,310.10971186,410.357361191,303.80326563,70.808374512,35.7457210492
 06/15  11:00:00,1451.68452082,110.620707668,546.552584261,0.0,243.2593065,310.10971186,410.988317407,295.404700332,70.808374512,44.775242563
 06/15  12:00:00,1412.62701555,111.675938832,547.95200516,0.0,243.2593065,310.10971186,406.016680624,290.694071461,70.808374512,44.5142346508
 06/15  13:00:00,1448.53804644,112.72896799,548.272942477,0.0,243.2593065,302.612436532,386.034389486,284.613013284,56.6466996096,44.7746765915
 06/15  14:00:00,1444.81141627,113.785119805,542.553967529,0.0,243.2593065,302.612436532,356.275711858,278.049977896,42.4850247072,35.7407092549
 06/15  15:00:00,1426.1006975,114.728076467,521.550107129,0.0,243.2593065,302.612436532,374.064943134,272.832659599,56.6466996096,44.5855839258
 06/15  16:00:00,1441.76028444,115.368791775,530.344939945,0.0,243.2593065,310.10971186,394.798552381,274.372392001,84.9700494144,35.456110966
 06/15  17:00:00,1443.89861338,115.823092207,532.122076489,0.0,243.2593065,310.10971186,381.758466479,279.247090705,84.9700494144,17.5413263592
 06/15  18:00:00,1182.0769745,98.5616145057,554.641922356,0.0,166.938926447,199.110933808,401.481527435,299.032450942,84.9700494144,17.4790270779
 06/15  19:00:00,1172.95056395,98.5616145057,553.05204179,0.0,166.938926447,191.61365848,382.921014492,308.796064578,56.6466996096,17.4782503043
 06/15  20:00:00,1045.21726686,98.5616145057,551.724037639,0.0,100.150657288,124.558693486,425.56163423,351.43509404,56.6466996096,17.47984058
 06/15  21:00:00,1012.48702321,98.5616145057,550.808927785,0.0,100.150657288,124.558693486,421.154014314,361.236014861,42.4850247072,17.4329747454
 06/15  22:00:00,944.622033199,98.5616145057,550.505833294,0.0,46.0930336215,124.558693486,426.763824025,381.016914117,28.3233498048,17.4235601031
 06/15  23:00:00,943.623147616,98.5616145057,549.473547883,0.0,46.0930336215,124.558693486,420.324809006,388.737173929,14.1616749024,17.4259601742
 06/15  24:00:00,928.813751485,98.5616145057,547.633137211,0.0,46.0930336215,113.312780494,407.933053717,393.546756863,5.66466996096,8.72162689311
 06/16  01:00:00,928.174282522,98.5616145057,547.033615735,0.0,46.0930336215,113.312780494,420.452926452,397.362077017,5.66466996096,17.426179474
 06/16  02:00:00,928.003646137,98.5616145057,546.874181829,0.0,46.0930336215,113.312780494,423.872751602,400.785109823,5.66466996096,17.4229718189
 06/16  03:00:00,927.946638847,98.5616145057,546.836008038,0.0,46.0930336215,113.312780494,427.437513538,404.348472327,5.66466996096,17.4243712504
 06/16  04:00:00,1020.98582692,98.5616145057,546.826175335,0.0,100.150657288,148.969399434,401.748881871,387.363373035,5.66466996096,8.7208388752
 06/16  05:00:00,1007.53693978,99.1001073139,547.229995835,0.0,100.150657288,149.894399434,580.733351712,549.146145217,14.1616749024,17.4255315932
 06/16  06:00:00,1240.91110708,103.458693549,547.997209241,0.0,176.471037341,302.612436532,440.381137935,394.631965987,28.3233498048,17.4258221437
 06/16  07:00:00,1367.76591735,106.574800419,548.796339136,0.0,243.2593065,310.10971186,423.709123153,354.836531996,42.4850247072,26.3875664497
 06/16  08:00:00,1411.29955211,107.476573102,549.905080353,0.0,243.2593065,310.10971186,420.039718695,336.862974307,56.6466996096,26.5300447781
 06/16  09:00:00,1445.62132338,108.157251466,550.2430948,0.0,243.2593065,302.612436532,407.178634388,329.169300352,42.4850247072,35.5243093288
 06/16  10:00:00,1453.85787656,108.794239447,550.331026671,0.0,243.2593065,310.10971186,433.272854041,317.789885379,70.808374512,44.6745941495
 06/16  11:00:00,1454.5237333,109.569807836,547.988476322,0.0,243.2593065,310.10971186,423.085299465,307.506999785,70.808374512,44.7699251678
 06/16  12:00:00,1364.41609941,110.681732798,494.678261147,0.0,243.2593065,310.10971186,398.481715273,292.06482973,70.808374512,35.6085110305
 06/16  13:00:00,1374.4337483,111.648518767,468.231533136,0.0,243.2593065,302.612436532,385.222957368,283.808012614,56.6466996096,44.7682451448
 06/16  14:00:00,1362.73373905,112.86765989,454.054439023,0.0,243.2593065,302.612436532,359.638333883,272.476178053,42.4850247072,44.6771311231
 06/16  15:00:00,1347.11552463,114.383068877,436.088567776,0.0,243.2593065,302.612436532,345.997354099,253.687547,56.6466996096,35.6631074886
 06/16  16:00:00,1338.86125517,115.685959979,421.489214136,0.0,243.2593065,310.10971186,361.282850545,240.847293314,84.9700494144,35.4655078159
 06/16  17:00:00,1340.99652263,116.411839257,423.099585783,0.0,243.2593065,310.10971186,360.591423129,249.32011859,84.9700494144,26.3012551241
 06/16  18:00:00,1093.90152605,98.5616145057,457.578303775,0.0,166.938926447,199.110933808,361.027170561,258.581891243,84.9700494144,17.4752299037
 06/16  19:00:00,1101.73797999,98.5616145057,473.602965127,0.0,166.938926447,191.61365848,344.289401191,270.16624004,56.6466996096,17.476461542
 06/16  20:00:00,996.200759821,98.5616145057,496.147354567,0.0,100.150657288,124.558693486,397.974634112,323.850134029,56.6466996096,17.477800474
 06/16  21:00:00,1017.52048344,98.5616145057,555.782946607,0.0,100.150657288,124.558693486,411.487789778,351.572715699,42.4850247072,17.4300493714
 06/16  22:00:00,935.232046745,98.5616145057,544.399351714,0.0,46.0930336215,124.558693486,415.216004218,378.171927798,28.3233498048,8.72072661528
 06/16  23:00:00,905.050368576,98.5616145057,514.768958262,0.0,46.0930336215,124.558693486,419.576365831,387.99010655,14.1616749024,17.4245843793
 06/16  24:00:00,902.447768028,98.5616145057,524.469186372,0.0,46.0930336215,113.312780494,416.13248159,393.042222791,5.66466996096,17.4255888382
 06/17  01:00:00,893.793612415,98.5616145057,515.997313762,0.0,46.0930336215,113.312780494,420.213435232,397.126079393,5.66466996096,17.4226858786
 06/17  02:00:00,907.74208073,98.5616145057,528.190048342,0.0,46.0930336215,113.312780494,412.673686738,398.286146122,5.66466996096,8.72287065433
 06/17  03:00:00,915.645114363,98.5616145057,534.536785216,0.0,46.0930336215,113.312780494,421.337776934,398.250321534,5.66466996096,17.4227854385
 06/17  04:00:00,926.171432462,98.5616145057,535.936872157,0.0,55.6251445156,113.312780494,414.440013922,391.35031177,5.66466996096,17.4250321904
 06/17  05:00:00,906.808238558,98.5616145057,532.938634951,0.0,55.6251445156,113.312780494,407.851941364,384.96919291,14.1616749024,8.72107355244
 06/17  06:00:00,986.020400057,98.5616145057,537.117027452,0.0,65.1572554096,176.889270242,353.204358939,307.455641426,28.3233498048,17.425367709
 06/17  07:00:00,1108.86530118,99.0284425952,535.952897215,0.0,109.682768182,220.96816451,517.997163615,458.088570533,42.4850247072,17.4235683751
 06/17  08:00:00,1095.46190719,99.1514845241,510.742846554,0.0,109.682768182,220.96816451,452.290865063,378.128877427,56.6466996096,17.5152880267
 06/17  09:00:00,1193.83279204,100.561374295,499.643405667,0.0,131.945524568,266.955817592,414.000255585,345.118416283,42.4850247072,26.3968145951
 06/17  10:00:00,1197.34308637,100.805669031,495.314410241,0.0,131.945524568,274.45309292,435.409790652,329.240873581,70.808374512,35.3605425591
 06/17  11:00:00,1193.18680841,100.911997565,489.803508901,0.0,131.945524568,274.45309292,415.138944348,317.807481577,70.808374512,26.5230882598
 06/17  12:00:00,1155.85497953,101.080501629,484.109340721,0.0,131.945524568,274.45309292,411.2998275,305.139573608,70.808374512,35.3518793805
 06/17  13:00:00,1147.20189712,101.232282317,482.529752461,0.0,131.945524568,266.955817592,379.434675053,296.265767185,56.6466996096,26.5222082577
 06/17  14:00:00,1146.27086388,101.383587346,481.218461099,0.0,131.945524568,266.955817592,361.947091547,284.112897736,42.4850247072,35.3491691033
 06/17  15:00:00,1070.29300011,98.5616145057,485.000173241,0.0,109.682768182,212.545889182,299.375407564,216.202993967,56.6466996096,26.525713988
 06/17  16:00:00,1078.7074982,98.5616145057,486.133439779,0.0,109.682768182,220.04316451,329.243940256,208.926032151,84.9700494144,35.3478586909
 06/17  17:00:00,1037.47410558,98.5616145057,486.926118189,0.0,109.682768182,220.04316451,318.205395334,211.2985509,84.9700494144,21.936795019
 06/17  18:00:00,993.719555971,98.5616145057,481.294030761,0.0,100.150657288,199.110933808,333.365464041,235.274829615,84.9700494144,13.1205850111
 06/17  19:00:00,990.542127411,98.5616145057,484.159071533,0.0,100.150657288,191.61365848,319.989884532,245.921441744,56.6466996096,17.4217431785
 06/17  20:00:00,925.460460112,98.5616145057,524.952986038,0.0,55.6251445156,124.558693486,390.572629132,316.501963122,56.6466996096,17.4239664009
 06/17  21:00:00,963.928299024,98.5616145057,559.571329981,0.0,55.6251445156,124.558693486,397.412073094,346.206462363,42.4850247072,8.72058602426
 06/17  22:00:00,946.04936018,98.5616145057,552.343248608,0.0,46.0930336215,124.558693486,413.204256997,367.45662296,28.3233498048,17.4242842319
 06/17  23:00:00,940.416680396,98.5616145057,547.428994331,0.0,46.0930336215,124.558693486,409.533807357,377.948591215,14.1616749024,17.4235412396
 06/17  24:00:00,923.632452268,98.5616145057,543.080329871,0.0,46.0930336215,113.312780494,406.583578443,383.496190112,5.66466996096,17.4227183703
 06/18  01:00:00,912.005898292,98.5616145057,542.816436089,0.0,34.9616554283,113.312780494,402.631992346,388.244591152,5.66466996096,8.72273123361
 06/18  02:00:00,908.437902699,98.5616145057,540.141080169,0.0,34.9616554283,113.312780494,416.712207861,393.625218621,5.66466996096,17.4223192794
 06/18  03:00:00,903.155277761,98.5616145057,535.831937251,0.0,34.9616554283,113.312780494,421.286983264,398.197877248,5.66466996096,17.4244360556
 06/18  04:00:00,892.975380927,98.5616145057,516.259390754,0.0,44.4937663224,113.312780494,405.440588561,391.055177899,5.66466996096,8.72074070113
 06/18  05:00:00,894.986515261,98.5616145057,532.262609527,0.0,44.4937663224,113.312780494,411.577900406,379.9915927,14.1616749024,17.4246328045
 06/18  06:00:00,976.293317431,98.5616145057,537.398147883,0.0,54.0258772165,176.889270242,344.894934151,299.151308558,28.3233498048,17.4202757883
 06/18  07:00:00,966.795545167,98.5616145057,517.833058998,0.0,54.0258772165,184.38654557,336.550409784,276.642557559,42.4850247072,17.4228275177
 06/18  08:00:00,1027.69559028,98.5616145057,497.460550781,0.0,65.1572554096,220.04316451,332.028065207,257.876410858,56.6466996096,17.5049547388
 06/18  09:00:00,1017.48563992,98.5616145057,494.157827671,0.0,65.1572554096,212.545889182,318.218512204,249.365692791,42.4850247072,26.3677947057
 06/18  10:00:00,1021.1296268,98.5616145057,489.946102188,0.0,65.1572554096,220.04316451,345.794385919,248.491351975,70.808374512,26.4946594323
 06/18  11:00:00,1013.9819903,98.5616145057,481.042795989,0.0,65.1572554096,220.04316451,343.522178977,246.223587973,70.808374512,26.490216492
 06/18  12:00:00,996.357012478,98.5616145057,463.127715754,0.0,65.1572554096,220.04316451,340.015126057,233.885107825,70.808374512,35.3216437201
 06/18  13:00:00,981.774684474,98.5616145057,455.257886041,0.0,65.1572554096,212.545889182,306.848595389,223.711094035,56.6466996096,26.4908017453
 06/18  14:00:00,982.084550393,98.5616145057,455.576941699,0.0,65.1572554096,212.545889182,298.096588078,220.297622483,42.4850247072,35.3139408879
 06/18  15:00:00,981.070452861,98.5616145057,454.5936911,0.0,65.1572554096,212.545889182,288.840882874,205.697896349,56.6466996096,26.4962869152
 06/18  16:00:00,949.928111119,98.5616145057,448.758330562,0.0,65.1572554096,220.04316451,299.649158956,188.183195004,84.9700494144,26.4959145375
 06/18  17:00:00,894.746159508,98.5616145057,441.231149568,0.0,54.0258772165,184.38654557,299.396411577,188.055955799,84.9700494144,26.3704063633
 06/18  18:00:00,858.865866146,98.5616145057,436.385724115,0.0,44.4937663224,163.454314868,318.252126188,215.859650066,84.9700494144,17.4224267079
 06/18  19:00:00,851.817846555,98.5616145057,436.098378718,0.0,44.4937663224,155.95703954,307.740223074,233.671949939,56.6466996096,17.4215735259
 06/18  20:00:00,876.542221004,98.5616145057,485.352204449,0.0,44.4937663224,124.558693486,380.536348005,315.1672842,56.6466996096,8.72236419491
 06/18  21:00:00,929.463279782,98.5616145057,533.835298108,0.0,44.4937663224,124.558693486,408.208185502,348.301378642,42.4850247072,17.4217821532
 06/18  22:00:00,930.787055725,98.5616145057,546.119822462,0.0,34.9616554283,124.558693486,418.719550657,372.972262371,28.3233498048,17.4239384812
 06/18  23:00:00,900.631722239,98.5616145057,512.72068765,0.0,34.9616554283,124.558693486,395.123127698,372.240933653,14.1616749024,8.72051914206
 06/18  24:00:00,880.179600863,98.5616145057,504.863326592,0.0,34.9616554283,113.312780494,394.869805395,371.780874429,5.66466996096,17.4242610044
 06/19  01:00:00,890.598828973,98.5616145057,503.801685403,0.0,46.0930336215,113.312780494,399.913366843,376.82580053,5.66466996096,17.4228963517
 06/19  02:00:00,912.457241919,98.5616145057,526.344789033,0.0,46.0930336215,113.312780494,408.789853104,385.703540016,5.66466996096,17.4216431262
 06/19  03:00:00,939.318866017,98.5616145057,555.444007154,0.0,46.0930336215,113.312780494,409.831141975,395.444094296,5.66466996096,8.7223777188
 06/19  04:00:00,1027.55364134,98.5616145057,555.024993176,0.0,100.150657288,148.969399434,404.662657735,381.576182394,5.66466996096,17.4218053806
 06/19  05:00:00,1011.32195081,98.5616145057,552.262525563,0.0,100.150657288,149.894399434,666.529710143,634.944250875,14.1616749024,17.423784366
 06/19  06:00:00,1230.84385456,99.0624582812,540.307391097,0.0,176.471037341,302.612436532,442.400707089,405.356956608,28.3233498048,8.72040067633
 06/19  07:00:00,1319.41600716,100.7556649,501.044096894,0.0,243.2593065,310.10971186,406.046906972,337.177151212,42.4850247072,26.384731053
 06/19  08:00:00,1342.35550425,101.541329354,480.640380204,0.0,243.2593065,310.10971186,397.484038096,305.474432532,56.6466996096,35.3629059546
 06/19  09:00:00,1379.83114914,102.296785343,485.204560039,0.0,243.2593065,302.612436532,369.747168488,291.762031297,42.4850247072,35.5001124841
 06/19  10:00:00,1385.79165272,102.940695711,483.355001652,0.0,243.2593065,310.10971186,390.411997886,283.874227733,70.808374512,35.729395641
 06/19  11:00:00,1382.38602524,103.936774998,477.909272941,0.0,243.2593065,310.10971186,393.296045287,277.736389342,70.808374512,44.7512814328
 06/19  12:00:00,1338.07016288,105.314331964,474.080141715,0.0,243.2593065,310.10971186,386.271662988,270.961841346,70.808374512,44.50144713
 06/19  13:00:00,1368.8026909,106.726152259,470.047125098,0.0,243.2593065,302.612436532,355.265632891,262.448127236,56.6466996096,36.1708060454
 06/19  14:00:00,1367.6388208,108.399960538,467.267492011,0.0,243.2593065,302.612436532,338.351101507,251.582658345,42.4850247072,44.2834184544
 06/19  15:00:00,1368.98446296,110.088439446,467.33223822,0.0,243.2593065,302.612436532,342.31931691,241.098914264,56.6466996096,44.5737030372
